slice	rho_of_slice	gamma	lambda
0	1.3	-731.810446	898.636511
1	1.335897435897436	-806.229525	874.314312
2	1.3717948717948718	-875.789596	857.984915
3	1.4076923076923078	-946.098779	909.898922
4	1.4435897435897436	-1021.096213	993.729308
5	1.4794871794871796	-1101.207865	1079.066292
6	1.5153846153846153	-1185.972432	1148.533863
7	1.5512820512820513	-1273.283298	1187.615544
8	1.5871794871794873	-1360.568952	1227.561856
9	1.623076923076923	-1450.209240	1320.263185
10	1.658974358974359	-1547.071202	1490.280015
11	1.694871794871795	-1656.995513	1742.827809
12	1.7307692307692308	-1785.470375	2063.000959
13	1.7666666666666668	-1936.018066	2437.940612
14	1.8025641025641028	-2112.083383	2870.474577
15	1.8384615384615386	-2317.365705	3398.287257
16	1.8743589743589744	-2560.452186	4093.825253
17	1.9102564102564104	-2855.021492	5047.837802
18	1.9461538461538463	-3222.045961	6402.745307
19	1.9820512820512821	-3694.660241	8397.482545
20	2.017948717948718	-4326.555692	11373.857584
21	2.053846153846154	-5197.317233	15324.671760
22	2.08974358974359	-6355.440963	15722.887853
23	2.1256410256410256	-7226.488538	-18781.450216
24	2.161538461538462	-3377.674908	-92301.772656
25	2.1974358974358976	6163.196063	-76830.486342
26	2.2333333333333334	7360.068675	-145.625517
27	2.269230769230769	5809.931800	17869.504895
28	2.3051282051282054	4475.910831	14064.772194
29	2.341025641025641	3525.469720	9720.587187
30	2.3769230769230774	2854.327904	6678.374582
31	2.412820512820513	2368.363610	4710.373764
32	2.448717948717949	1999.438763	3486.271132
33	2.4846153846153847	1703.742233	2720.439406
34	2.5205128205128204	1456.194699	2157.741770
35	2.5564102564102567	1250.834876	1675.154964
36	2.5923076923076924	1080.154024	1308.347377
37	2.6282051282051286	933.164043	1083.304066
38	2.6641025641025644	799.210270	941.243399
39	2.7	676.576669	886.607191
