slice	rho_of_slice	gamma	lambda
0	1.5	-277.862240	282.973270
1	1.528205128205128	-299.156836	392.700571
2	1.5564102564102564	-332.531831	534.731315
3	1.5846153846153845	-369.791122	518.899424
4	1.6128205128205129	-401.222893	436.604807
5	1.641025641025641	-428.702674	416.734182
6	1.6692307692307693	-457.164755	469.530266
7	1.6974358974358974	-489.757969	576.836402
8	1.7256410256410257	-529.397634	742.656964
9	1.7538461538461538	-579.673708	974.246665
10	1.7820512820512822	-644.279968	1274.517478
11	1.8102564102564103	-727.053362	1629.602728
12	1.8384615384615386	-829.997697	1927.711911
13	1.8666666666666667	-944.166863	1688.637381
14	1.8948717948717948	-1017.234508	-548.978766
15	1.9230769230769231	-875.643059	-6408.040244
16	1.9512820512820515	-286.094430	-11706.740487
17	1.9794871794871796	448.115706	-9754.527065
18	2.0076923076923077	806.210047	-3853.471250
19	2.0358974358974358	866.148365	-298.380908
20	2.0641025641025643	819.077945	862.939862
21	2.0923076923076924	746.240705	1109.601818
22	2.1205128205128205	670.578126	1113.813221
23	2.148717948717949	597.008164	1042.377051
24	2.176923076923077	529.517678	923.043602
25	2.2051282051282053	469.728456	788.976982
26	2.2333333333333334	417.764491	657.312156
27	2.2615384615384615	373.236271	535.350603
28	2.2897435897435896	335.384188	427.930660
29	2.317948717948718	303.234350	338.876531
30	2.3461538461538463	275.577575	268.542201
31	2.3743589743589744	251.410355	206.968176
32	2.402564102564103	230.660630	146.745533
33	2.430769230769231	213.114036	97.489992
34	2.458974358974359	197.573217	65.988695
35	2.4871794871794872	183.111386	46.162145
36	2.5153846153846153	169.272055	34.311391
37	2.5435897435897434	155.571877	29.347221
38	2.571794871794872	141.721481	22.570055
39	2.6	128.255746	14.096992
