0 16 31 -1 0
1 11 30 0 -1
2 38 35 1 0
3 1 29 0 1
4 18 37 0 1
5 6 10 -1 0
6 6 28 -1 0
7 0 18 0 -1
8 23 27 -1 0
9 9 29 1 0
10 3 22 1 0
11 25 23 -1 0
12 39 7 0 1
13 27 37 0 1
14 5 38 -1 0
15 28 33 0 1
16 35 38 0 -1
17 17 19 0 1
18 19 2 0 -1
19 31 24 -1 0
20 7 38 -1 0
21 9 25 0 -1
22 29 15 -1 0
23 18 29 0 -1
24 15 26 0 -1
25 21 16 0 1
26 12 33 -1 0
27 7 6 -1 0
28 38 23 0 1
29 35 24 0 -1
30 34 34 0 1
31 12 12 -1 0
32 22 28 0 -1
33 34 14 0 -1
34 5 27 0 1
35 31 24 -1 0
36 1 36 0 -1
37 23 21 0 1
38 24 10 1 0
39 22 9 0 1
40 21 31 0 1
41 32 9 1 0
42 31 20 0 -1
43 17 17 1 0
44 16 16 -1 0
45 32 28 0 1
46 7 25 0 -1
47 20 10 -1 0
48 21 11 -1 0
49 9 0 -1 0
50 9 23 0 -1
51 17 28 0 1
52 17 17 -1 0
53 11 29 0 1
54 21 23 1 0
55 23 8 0 1
56 23 26 0 -1
57 3 31 1 0
58 20 3 -1 0
59 10 0 0 1
60 31 9 0 1
61 7 12 0 -1
62 26 12 0 1
63 14 1 -1 0
64 36 12 0 1
65 0 13 -1 0
66 13 23 1 0
67 35 14 0 -1
68 35 18 -1 0
69 4 29 0 1
70 15 37 0 1
71 0 10 0 1
72 39 12 0 -1
73 28 19 -1 0
74 21 0 -1 0
75 29 16 0 -1
76 22 24 0 -1
77 22 21 -1 0
78 1 24 1 0
79 21 15 1 0
80 27 23 1 0
81 34 31 0 1
82 24 31 -1 0
83 1 24 0 -1
84 36 18 1 0
85 38 36 0 -1
86 32 14 0 1
87 0 38 0 1
88 11 24 -1 0
89 27 3 0 -1
90 32 37 0 1
91 9 32 1 0
92 12 5 -1 0
93 1 30 0 1
94 19 32 -1 0
95 4 11 0 1
96 8 29 0 -1
97 4 26 -1 0
98 8 14 -1 0
99 13 8 1 0
100 2 17 -1 0
101 28 9 1 0
102 20 31 0 1
103 39 27 -1 0
104 23 32 0 1
105 26 12 1 0
106 2 23 -1 0
107 39 7 0 1
108 24 32 1 0
109 38 23 -1 0
110 36 26 -1 0
111 24 18 -1 0
112 5 0 0 1
113 7 8 -1 0
114 32 9 1 0
115 0 6 -1 0
116 19 9 1 0
117 5 26 0 1
118 30 33 0 -1
119 26 30 1 0
120 37 39 1 0
121 37 0 -1 0
122 6 30 0 -1
123 26 32 -1 0
124 0 34 1 0
125 6 5 0 1
126 8 2 0 1
127 36 39 0 1
128 18 29 1 0
129 16 7 0 1
130 7 25 0 1
131 7 18 0 1
132 10 22 0 -1
133 6 5 -1 0
134 3 24 0 1
135 36 20 0 -1
136 0 37 0 1
137 7 1 -1 0
138 29 38 -1 0
139 21 38 0 1
140 3 16 1 0
141 38 32 -1 0
142 8 4 1 0
143 34 11 0 -1
