nr_slice	rho	gamma	lambda
0	1.5	-512.428863	293.794657
1	1.528205128205128	-533.348968	327.682365
2	1.5564102564102564	-557.244722	386.995616
3	1.5846153846153845	-583.969846	441.846220
4	1.6128205128205129	-613.108182	487.605517
5	1.641025641025641	-643.973112	519.448570
6	1.6692307692307693	-675.589696	539.184905
7	1.6974358974358974	-707.467096	556.559992
8	1.7256410256410257	-739.726536	578.118526
9	1.7538461538461538	-772.611705	605.939171
10	1.7820512820512822	-806.471643	642.486447
11	1.8102564102564103	-841.817615	692.881784
12	1.8384615384615386	-879.560618	764.646157
13	1.8666666666666667	-921.034714	864.117886
14	1.8948717948717948	-967.826186	996.401742
15	1.9230769230769231	-1021.789920	1166.951832
16	1.9512820512820515	-1085.053715	1381.228472
17	1.9794871794871796	-1159.992220	1643.363624
18	2.0076923076923077	-1249.077178	1953.723820
19	2.0358974358974358	-1354.575581	2294.779502
20	2.0641025641025643	-1476.809973	2591.802897
21	2.0923076923076924	-1609.471859	2680.434191
22	2.1205128205128205	-1734.387122	2249.399025
23	2.148717948717949	-1810.615112	753.994151
24	2.176923076923077	-1759.987650	-2418.250030
25	2.2051282051282053	-1475.751587	-7124.531688
26	2.2333333333333334	-901.151518	-11476.414605
27	2.2615384615384615	-146.893722	-12832.205619
28	2.2897435897435896	548.234985	-10668.424858
29	2.317948717948718	1024.360798	-6843.971380
30	2.3461538461538463	1261.023213	-3208.295406
31	2.3743589743589744	1309.991099	-615.677527
32	2.402564102564103	1246.377574	743.059930
33	2.430769230769231	1140.686170	1161.455736
34	2.458974358974359	1031.462685	1141.869035
35	2.4871794871794872	930.325116	1006.832128
36	2.5153846153846153	838.641756	859.493071
37	2.5435897435897434	756.224886	713.198730
38	2.571794871794872	682.861400	572.437736
39	2.6	617.762483	508.073343
