nr_slice	rho	gamma	lambda
0	1.8	-244.105728	-682.641276
1	1.8315789473684212	-201.862607	-917.778547
2	1.8631578947368421	-128.772912	-1542.940050
3	1.8947368421052633	-6.784563	-2003.643361
4	1.9263157894736842	124.377388	-1718.275363
5	1.9578947368421054	208.978207	-955.798731
6	1.9894736842105263	241.922649	-297.622542
7	2.0210526315789474	241.669424	62.908427
8	2.0526315789473686	227.842058	127.285182
9	2.0842105263157893	218.619635	53.566271
10	2.1157894736842104	213.242845	109.692720
11	2.1473684210526316	195.997978	265.455517
12	2.1789473684210527	170.535668	302.274659
13	2.2105263157894735	148.726897	215.656634
14	2.2421052631578946	134.277049	118.878897
15	2.2736842105263158	124.481353	66.355036
16	2.305263157894737	116.247180	54.582111
17	2.336842105263158	107.471026	66.341979
18	2.3684210526315788	97.390149	77.077162
19	2.4	87.094932	78.372693
