nr_slice	rho	gamma	lambda
0	1.4	13.459463	4.727145
1	1.4684210526315788	13.059199	4.790253
2	1.5368421052631578	12.096062	7.952179
3	1.6052631578947367	10.390891	9.404183
4	1.6736842105263157	8.540451	8.055049
5	1.7421052631578946	6.793207	9.793499
6	1.8105263157894738	4.161112	8.165366
7	1.8789473684210527	2.549571	3.049272
8	1.9473684210526316	1.208958	5.644766
9	2.015789473684211	-1.193086	2.496203
10	2.0842105263157897	-1.728523	-4.184780
11	2.1526315789473687	-2.277560	-1.825231
12	2.2210526315789476	-3.462089	2.207610
13	2.2894736842105265	-5.066604	5.281402
14	2.3578947368421055	-6.970311	7.798505
15	2.4263157894736844	-9.070802	9.957507
16	2.4947368421052634	-11.307304	6.760756
17	2.5631578947368423	-12.182555	7.117242
18	2.6315789473684212	-14.058017	26.918894
19	2.7	-19.892863	47.558411
