slice	rho_of_slice	gamma	lambda
0	1.5	-101.316391	1150.301152
1	1.528205128205128	-168.512847	1153.014695
2	1.5564102564102564	-238.370338	679.332065
3	1.5846153846153845	-254.056142	23.371190
4	1.6128205128205129	-249.435703	70.117358
5	1.641025641025641	-269.280504	203.223580
6	1.6692307692307693	-279.278383	-96.446005
7	1.6974358974358974	-264.552563	-208.456361
8	1.7256410256410257	-260.656252	-26.646998
9	1.7538461538461538	-265.496645	-38.678593
10	1.7820512820512822	-259.433700	-314.278500
11	1.8102564102564103	-232.242523	-629.143045
12	1.8384615384615386	-189.653744	-1020.017711
13	1.8666666666666667	-117.507489	-1624.343578
14	1.8948717948717948	-6.194450	-2038.093335
15	1.9230769230769231	112.480577	-1801.491726
16	1.9512820512820515	196.065847	-1116.660589
17	1.9794871794871796	235.973946	-465.332935
18	2.0076923076923077	244.629712	-41.354626
19	2.0358974358974358	235.569339	136.315252
20	2.0641025641025643	223.396122	102.335565
21	2.0923076923076924	217.538511	40.361582
22	2.1205128205128205	211.621097	129.730817
23	2.148717948717949	194.978369	277.217265
24	2.176923076923077	172.147095	309.609332
25	2.2051282051282053	151.921273	234.328793
26	2.2333333333333334	137.660684	140.350972
27	2.2615384615384615	127.920992	79.309654
28	2.2897435897435896	120.252136	55.147455
29	2.317948717948718	112.866091	57.102081
30	2.3461538461538463	104.626990	71.352039
31	2.3743589743589744	95.396229	77.877191
32	2.402564102564103	86.328259	61.031716
33	2.430769230769231	78.954891	31.191985
34	2.458974358974359	73.086561	9.091156
35	2.4871794871794872	67.896599	-1.927384
36	2.5153846153846153	62.883976	-5.150141
37	2.5435897435897434	57.640360	-4.619782
38	2.571794871794872	52.176545	-4.929497
39	2.6	46.605456	-7.085951
