sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	26.889378403082386	-15.22071294400854
1	d0.9_t0.11_time500000_gamma-0.5	24.766888380798825	-17.29031929941167
2	d0.8_t0.11_time500000_gamma-0.5	18.863498514898247	-13.074161374164309
3	d0.7_t0.13_time500000_gamma-0.5	16.407985215292143	-9.16237505343674
4	d0.8_t0.09_time500000_gamma-0.5	18.78120194799656	-14.106648465882198
5	d0.9_t0.13_time500000_gamma-0.5	26.592100760295445	-15.816217752466441
6	d0.7_t0.09_time500000_gamma-0.5	14.250775414266812	-10.191849853723
7	d0.8_t0.13_time500000_gamma-0.5	21.697698038473376	-12.20472083575947
8	d0.7_t0.11_time500000_gamma-0.5	15.136888647287899	-10.155749996318669
