slice	rho_of_slice	gamma	lambda
0	1.3	-1469.888201	708.223043
1	1.323076923076923	-1497.929572	730.200195
2	1.3461538461538463	-1526.475023	760.745970
3	1.3692307692307693	-1555.788094	791.368195
4	1.3923076923076925	-1585.583121	816.100003
5	1.4153846153846155	-1615.573208	826.708118
6	1.4384615384615385	-1644.713986	794.606200
7	1.4615384615384617	-1670.093499	701.328426
8	1.4846153846153847	-1689.010290	587.142242
9	1.5076923076923077	-1702.322749	516.849285
10	1.5307692307692309	-1713.309802	517.866320
11	1.5538461538461539	-1725.312147	576.056011
12	1.576923076923077	-1740.244200	648.453740
13	1.6	-1757.438909	712.482811
14	1.623076923076923	-1776.731165	777.634673
15	1.6461538461538463	-1798.326154	848.253132
16	1.6692307692307693	-1822.448376	922.586489
17	1.6923076923076925	-1849.128990	999.886619
18	1.7153846153846155	-1878.515018	1082.382967
19	1.7384615384615385	-1910.832203	1173.224652
20	1.7615384615384617	-1946.504705	1276.289029
21	1.7846153846153847	-1986.096706	1392.619937
22	1.807692307692308	-2030.104085	1522.315166
23	1.830769230769231	-2079.075372	1666.440975
24	1.853846153846154	-2133.576963	1823.161448
25	1.8769230769230771	-2193.957490	1983.635415
26	1.9000000000000001	-2259.940913	2130.477133
27	1.9230769230769234	-2330.261587	2239.143512
28	1.9461538461538463	-2402.398933	2287.538538
29	1.9692307692307693	-2473.111349	2261.200262
30	1.9923076923076923	-2538.637786	2149.236769
31	2.0153846153846153	-2594.853221	1956.911517
32	2.0384615384615388	-2638.629281	1712.788783
33	2.0615384615384618	-2668.603691	1451.407515
34	2.0846153846153848	-2684.910181	1209.494238
35	2.1076923076923078	-2689.601215	1011.804486
36	2.130769230769231	-2685.048636	851.258923
37	2.153846153846154	-2672.585656	696.128929
38	2.176923076923077	-2651.622707	483.072973
39	2.2	-2617.687573	356.756240
